Time,NodeID,NodeEventName,NumIndividuals,NumInfected,Geographic:A:NumIndividuals,Geographic:A:NumInfected,Geographic:B:NumIndividuals,Geographic:B:NumInfected,Geographic:C:NumIndividuals,Geographic:C:NumInfected,Geographic:D:NumIndividuals,Geographic:D:NumInfected
10,340461476,NegativeResult,1001,0,257,0,236,0,265,0,243,0
15,340461476,NegativeResult,1001,0,257,0,236,0,265,0,243,0
20,340461476,NegativeResult,1000,0,256,0,236,0,265,0,243,0
25,340461476,NegativeResult,1000,0,256,0,236,0,265,0,243,0
101,340461476,NegativeResult,999,220,256,220,236,0,264,0,243,0
106,340461476,NegativeResult,999,341,256,117,236,224,264,0,243,0
111,340461476,PositiveResult,999,426,256,60,236,109,264,257,243,0
116,340461476,PositiveResult,999,470,256,27,236,52,264,155,243,236
121,340461476,PositiveResult,999,247,256,13,236,25,264,78,243,131
126,340461476,PositiveResult,999,118,256,6,236,11,264,37,243,64
350,340461476,NegativeResult,999,0,257,0,235,0,262,0,245,0
355,340461476,NegativeResult,999,0,257,0,235,0,262,0,245,0
360,340461476,NegativeResult,999,0,257,0,235,0,262,0,245,0
365,340461476,NegativeResult,1000,0,257,0,236,0,262,0,245,0
401,340461476,NegativeResult,1001,115,257,115,237,0,262,0,245,0
406,340461476,NegativeResult,1001,276,257,62,237,214,262,0,245,0
411,340461476,NegativeResult,1001,394,257,27,237,118,262,249,245,0
416,340461476,PositiveResult,1001,457,257,15,237,61,262,154,245,227
421,340461476,NegativeResult,1001,273,257,11,237,28,262,75,245,159
426,340461476,NegativeResult,1002,133,257,6,238,12,262,40,245,75
700,340461476,NegativeResult,1003,0,259,0,238,0,262,0,244,0
705,340461476,NegativeResult,1003,0,259,0,238,0,262,0,244,0
710,340461476,NegativeResult,1003,0,259,0,238,0,262,0,244,0
715,340461476,NegativeResult,1004,0,259,0,238,0,263,0,244,0
